test_id,category,description,user_input,weight,orig_port,dest_port,max_days,expected_plans_count,expected_recommend_carrier,expected_cost_formula,expected_min_cost,notes
TC001,正常查询,标准重量查询,我有100kg货物要从PORT08运到PORT09,100,PORT08,PORT09,,8,,,,测试基本查询功能
TC002,正常查询,带时效要求,200kg货物从PORT02发往PORT11，5天内到,200,PORT02,PORT11,5,,,,测试时效过滤功能
TC003,正常查询,大重量查询,1500kg货物从PORT05运到PORT07,1500,PORT05,PORT07,,,,,,测试大重量场景
TC004,正常查询,小重量查询,5kg货物从PORT03运到PORT09,5,PORT03,PORT09,,,,,,测试小重量场景
TC005,单位转换,吨转千克,2吨货物从PORT02发往PORT11,2000,PORT02,PORT11,,,,,,测试单位转换功能
TC006,单位转换,带小数重量,0.5吨货物从PORT04运到PORT06,500,PORT04,PORT06,,,,,,测试小数吨位转换
TC007,边界条件,最小重量,1kg货物从PORT08运到PORT09,1,PORT08,PORT09,,,,,,测试最小重量边界
TC008,边界条件,最大时效,100kg货物从PORT02运到PORT11，14天内到,100,PORT02,PORT11,14,,,,测试最大时效边界
TC009,边界条件,重量边界值50kg,50kg货物从PORT08运到PORT09,50,PORT08,PORT09,,,,,,测试重量分界点
TC010,边界条件,重量边界值49.99kg,49.99kg货物从PORT08运到PORT09,49.99,PORT08,PORT09,,,,,,测试重量分界点
TC011,边界条件,重量边界值500kg,500kg货物从PORT08运到PORT09,500,PORT08,PORT09,,,,,,测试重量分界点
TC012,边界条件,重量边界值499.99kg,499.99kg货物从PORT08运到PORT09,499.99,PORT08,PORT09,,,,,,测试重量分界点
TC013,无时效要求,不着急运输,500kg货物从PORT06运到PORT10，不着急,500,PORT06,PORT10,,,,,,测试无时效约束
TC014,无时效要求,省优先,300kg货物从PORT02到PORT09，能到就行,300,PORT02,PORT09,,,,,,测试无时效约束
TC015,空运优先,要求快速到达,50kg货物从PORT08运到PORT09，要快，2天内到,50,PORT08,PORT09,2,,,,测试空运筛选
TC016,陆运优先,成本优先,200kg货物从PORT05运到PORT07，走陆运便宜,200,PORT05,PORT07,,,,,,测试陆运方案
TC017,门到门服务,要求门到门,150kg货物从PORT04运到PORT06，要门到门服务,150,PORT04,PORT06,,,,,,测试DTD服务级别
TC018,门到港服务,接受门到港,100kg货物从PORT03运到PORT09，门到港也行,100,PORT03,PORT09,,,,,,测试DTP服务级别
TC019,异常输入,无效起运港,100kg货物从PORT99运到PORT09,100,PORT99,PORT09,,,,,,测试无效港口处理
TC020,异常输入,无效目的港,100kg货物从PORT08运到PORT99,100,PORT08,PORT99,,,,,,测试无效港口处理
TC021,异常输入,起运港目的港相同,100kg货物从PORT08运到PORT08,100,PORT08,PORT08,,,,,,测试相同港口处理
TC022,异常输入,零重量,0kg货物从PORT08运到PORT09,0,PORT08,PORT09,,,,,,测试零重量处理
TC023,异常输入,负重量,-10kg货物从PORT08运到PORT09,-10,PORT08,PORT09,,,,,,测试负重量处理
TC024,异常输入,超大重量,100000kg货物从PORT08运到PORT09,100000,PORT08,PORT09,,,,,,测试超大重量处理
TC025,模糊输入,缺少重量,货物从PORT08运到PORT09,,PORT08,PORT09,,,,,,测试参数缺失处理
TC026,模糊输入,缺少港口,100kg货物要运走,,PORT08,PORT09,,,,,,测试参数缺失处理
TC027,模糊输入,中文港口名,100kg货物从上海运到广州,100,PORT02,PORT09,,,,,,测试中文输入处理
TC028,成本计算,低费率场景,10kg货物从PORT08运到PORT09,10,PORT08,PORT09,,,,,,测试低费率成本计算
TC029,成本计算,高费率场景,10kg货物从PORT08运到PORT09,10,PORT08,PORT09,,,,,,测试高费率成本计算
TC030,成本计算,最低费用生效,1kg货物从PORT08运到PORT09,1,PORT08,PORT09,,,,,,测试Min_Cost生效场景
TC031,成本计算,费率生效,1000kg货物从PORT08运到PORT09,1000,PORT08,PORT09,,,,,,测试Rate生效场景
TC032,时效过滤,严格时效,100kg货物从PORT08运到PORT09，1天内到,100,PORT08,PORT09,1,,,,测试严格时效过滤
TC033,时效过滤,宽松时效,100kg货物从PORT08运到PORT09，14天内到,100,PORT08,PORT09,14,,,,测试宽松时效过滤
TC034,时效过滤,无满足方案,100kg货物从PORT02运到PORT11，1天内到,100,PORT02,PORT11,1,,,,测试无满足时效方案
TC035,多方案对比,方案数量验证,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,验证方案数量正确性
TC036,多方案对比,成本排序验证,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,验证成本排序正确性
TC037,推荐逻辑,最低成本推荐,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,验证推荐最低成本方案
TC038,推荐逻辑,时效内最低成本,100kg货物从PORT08运到PORT09，3天内到,100,PORT08,PORT09,3,,,,验证时效内最低成本推荐
TC039,推荐逻辑,推荐理由生成,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,验证推荐理由完整性
TC040,综合场景,完整业务流程,500kg货物从PORT02发往PORT11，7天内到，要门到门服务,500,PORT02,PORT11,7,,,,测试完整业务流程
TC041,综合场景,复杂需求,2吨紧急货物从PORT08运到PORT09，3天内到，要求空运门到门,2000,PORT08,PORT09,3,,,,测试复杂需求处理
TC042,综合场景,经济型需求,5000kg货物从PORT05运到PORT07，不着急，越便宜越好,5000,PORT05,PORT07,,,,,,测试经济型需求处理
TC043,港口覆盖,PORT02起运,100kg货物从PORT02运到PORT09,100,PORT02,PORT09,,,,,,测试PORT02起运
TC044,港口覆盖,PORT03起运,100kg货物从PORT03运到PORT09,100,PORT03,PORT09,,,,,,测试PORT03起运
TC045,港口覆盖,PORT04起运,100kg货物从PORT04运到PORT09,100,PORT04,PORT09,,,,,,测试PORT04起运
TC046,港口覆盖,PORT05起运,100kg货物从PORT05运到PORT09,100,PORT05,PORT09,,,,,,测试PORT05起运
TC047,港口覆盖,PORT06起运,100kg货物从PORT06运到PORT09,100,PORT06,PORT09,,,,,,测试PORT06起运
TC048,港口覆盖,PORT07起运,100kg货物从PORT07运到PORT09,100,PORT07,PORT09,,,,,,测试PORT07起运
TC049,港口覆盖,PORT08起运,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试PORT08起运
TC050,港口覆盖,PORT09起运,100kg货物从PORT09运到PORT08,100,PORT09,PORT08,,,,,,测试PORT09起运
TC051,港口覆盖,PORT10起运,100kg货物从PORT10运到PORT09,100,PORT10,PORT09,,,,,,测试PORT10起运
TC052,港口覆盖,PORT11起运,100kg货物从PORT11运到PORT09,100,PORT11,PORT09,,,,,,测试PORT11起运
TC053,承运商覆盖,V444_0承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_0承运商
TC054,承运商覆盖,V444_1承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_1承运商
TC055,承运商覆盖,V444_2承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_2承运商
TC056,承运商覆盖,V444_3承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_3承运商
TC057,承运商覆盖,V444_4承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_4承运商
TC058,承运商覆盖,V444_5承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_5承运商
TC059,承运商覆盖,V444_6承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_6承运商
TC060,承运商覆盖,V444_7承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_7承运商
TC061,承运商覆盖,V444_8承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_8承运商
TC062,承运商覆盖,V444_9承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_9承运商
TC063,运输方式,空运筛选,100kg货物从PORT08运到PORT09，要空运,100,PORT08,PORT09,,,,,,测试空运方式筛选
TC064,运输方式,陆运筛选,100kg货物从PORT08运到PORT09，走陆运,100,PORT08,PORT09,,,,,,测试陆运方式筛选
TC065,服务级别,门到门筛选,100kg货物从PORT08运到PORT09，门到门,100,PORT08,PORT09,,,,,,测试DTD服务筛选
TC066,服务级别,门到港筛选,100kg货物从PORT08运到PORT09，门到港,100,PORT08,PORT09,,,,,,测试DTP服务筛选
TC067,自然语言,口语化表达,我有点东西要从PORT08寄到PORT09，大概100公斤,100,PORT08,PORT09,,,,,,测试口语化输入解析
TC068,自然语言,完整句子,我需要把100公斤的货物从PORT08港口运输到PORT09港口，希望能在5天内送达,100,PORT08,PORT09,5,,,,测试完整句子解析
TC069,自然语言,省略表达,PORT08到PORT09，100kg，5天,100,PORT08,PORT09,5,,,,测试省略表达解析
TC070,自然语言,混合表达,帮我查一下从PORT08发100公斤货到PORT09要多少钱,100,PORT08,PORT09,,,,,,测试混合表达解析
